pk_serie,cod_escola,nome_escola,n_classe_sed,tipo_de_ensino,capacidade,quant_alunos_ativos,nome_serie_sed,periodo,tipo_ensino_matricula,turma,cod_turma,cod_escola,filtro_serie,link_sala,cod_turma,id
10159,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292817624,ENSINO FUNDAMENTAL DE 9 ANOS,30,28,2° ANO F TARDE ANUAL,TARDE,FUNDAMENTAL,2F,25042F,04,2 ANO,https://docs.google.com/spreadsheets/d/19BMs-MvcI_0Pib6CVJCEhdt9T7wKY11H6iZaFoKokKA/edit?usp=drivesdk,25042F,19BMs-MvcI_0Pib6CVJCEhdt9T7wKY11H6iZaFoKokKA
10164,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292842218,ENSINO FUNDAMENTAL DE 9 ANOS,35,35,3° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3A,25043A,04,3 ANO,https://docs.google.com/spreadsheets/d/1JcUmpRq3bkLD8qgrVyz7NWQpoGLDmNfdXMXnP1d4TN0/edit?usp=drivesdk,25043A,1JcUmpRq3bkLD8qgrVyz7NWQpoGLDmNfdXMXnP1d4TN0
10165,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292845138,ENSINO FUNDAMENTAL DE 9 ANOS,35,35,3° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3B,25043B,04,3 ANO,https://docs.google.com/spreadsheets/d/1twrrg6z1YvlAleM1yae9V1hEm7ao2yFA7QGz9RKdV_8/edit?usp=drivesdk,25043B,1twrrg6z1YvlAleM1yae9V1hEm7ao2yFA7QGz9RKdV_8
10166,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292845864,ENSINO FUNDAMENTAL DE 9 ANOS,35,35,3° ANO C INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3C,25043C,04,3 ANO,https://docs.google.com/spreadsheets/d/13SOVjxpMmeYeDCAaUGWiLDzdCccYxmBY50gnLL5rnyU/edit?usp=drivesdk,25043C,13SOVjxpMmeYeDCAaUGWiLDzdCccYxmBY50gnLL5rnyU
10167,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,295406326,ENSINO FUNDAMENTAL DE 9 ANOS,35,34,3° ANO D INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3D,25043D,04,3 ANO,https://docs.google.com/spreadsheets/d/1HF6KLwrnIzsRI0QFtuYXXG08tkDMdoOKu7ojUD5FeiA/edit?usp=drivesdk,25043D,1HF6KLwrnIzsRI0QFtuYXXG08tkDMdoOKu7ojUD5FeiA
10174,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,295256697,ENSINO FUNDAMENTAL DE 9 ANOS,35,0,4° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4A,25044A,04,4 ANO,https://docs.google.com/spreadsheets/d/104LhYavWpwPwnDXH_yYfj-WcepAI3OJZDGzChfpRVJg/edit?usp=drivesdk,25044A,104LhYavWpwPwnDXH_yYfj-WcepAI3OJZDGzChfpRVJg
10175,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292847035,ENSINO FUNDAMENTAL DE 9 ANOS,35,0,4° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4B,25044B,04,4 ANO,https://docs.google.com/spreadsheets/d/1PoeRZ9ddZvCVndEctoxL6DAe7UCKX0dWhjsKv8CfTBI/edit?usp=drivesdk,25044B,1PoeRZ9ddZvCVndEctoxL6DAe7UCKX0dWhjsKv8CfTBI
10184,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292849437,ENSINO FUNDAMENTAL DE 9 ANOS,35,0,5° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5A,25045A,04,5 ANO,https://docs.google.com/spreadsheets/d/1yywZj9YfXK3cEY3YcJuv6h1uTKqjtpoVKl3tk-JhHVM/edit?usp=drivesdk,25045A,1yywZj9YfXK3cEY3YcJuv6h1uTKqjtpoVKl3tk-JhHVM
10185,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292850229,ENSINO FUNDAMENTAL DE 9 ANOS,35,0,5° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5B,25045B,04,5 ANO,https://docs.google.com/spreadsheets/d/1Ibc4zyxsiw8xNcDgKm8LBvnkY5yNw9v5UonnboGJKwc/edit?usp=drivesdk,25045B,1Ibc4zyxsiw8xNcDgKm8LBvnkY5yNw9v5UonnboGJKwc
10186,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292850708,ENSINO FUNDAMENTAL DE 9 ANOS,35,0,5° ANO C INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5C,25045C,04,5 ANO,https://docs.google.com/spreadsheets/d/1Fm-ZyBeFTgfSTNHmav7MN8l8_zcVWZd_dzYpKwqv3l0/edit?usp=drivesdk,25045C,1Fm-ZyBeFTgfSTNHmav7MN8l8_zcVWZd_dzYpKwqv3l0
10187,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292852100,ENSINO FUNDAMENTAL DE 9 ANOS,35,0,5° ANO D INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5D,25045D,04,5 ANO,https://docs.google.com/spreadsheets/d/1kcl850fSeY-3GeVE7Y5zJ0EIoO163wd3waFLlvdu6VE/edit?usp=drivesdk,25045D,1kcl850fSeY-3GeVE7Y5zJ0EIoO163wd3waFLlvdu6VE
10196,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE A MANHA ANUAL,MANHA,EDUCAÇÃO ESPECIAL,AEEA,2504AEEA,04,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1s7__PrHAhme7y3czvUtFkuK1VqptRIyioNm5WTzHB9Q/edit?usp=drivesdk,2504AEEA,1s7__PrHAhme7y3czvUtFkuK1VqptRIyioNm5WTzHB9Q
10197,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE B TARDE ANUAL,TARDE,EDUCAÇÃO ESPECIAL,AEEB,2504AEEB,04,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1bcRlTGIsdZQo83iJs6wzvBUZu1Y56kev2qIY6sxg68k/edit?usp=drivesdk,2504AEEB,1bcRlTGIsdZQo83iJs6wzvBUZu1Y56kev2qIY6sxg68k
10200,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,,EJA,,,EJA1A,NOITE,EJA,EJA1A,2504EJA1A,04,EJA1,https://docs.google.com/spreadsheets/d/1ppBupDZM7CGHFpnqrpEDum89ORV3R46K546tL5OUUtw/edit?usp=drivesdk,2504EJA1A,1ppBupDZM7CGHFpnqrpEDum89ORV3R46K546tL5OUUtw
10202,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,,EJA,,,EJA2A,NOITE,EJA,EJA2A,2504EJA2A,04,EJA2,https://docs.google.com/spreadsheets/d/10y3SuoWqufZi9e_0Xn9Y_jRmZE-VEAxib_WFH8HdO5k/edit?usp=drivesdk,2504EJA2A,10y3SuoWqufZi9e_0Xn9Y_jRmZE-VEAxib_WFH8HdO5k
10144,05,EM GIUSFREDO SANTINI,292758380,ENSINO FUNDAMENTAL DE 9 ANOS,30,24,1° ANO A TARDE ANUAL,TARDE,FUNDAMENTAL,1A,25051A,05,1 ANO,https://docs.google.com/spreadsheets/d/1f_A6RX0V-U0xfaC6jfBF0Jm5RFFjJIDPxMdlCwpPPyw/edit?usp=drivesdk,25051A,1f_A6RX0V-U0xfaC6jfBF0Jm5RFFjJIDPxMdlCwpPPyw
10145,05,EM GIUSFREDO SANTINI,292758596,ENSINO FUNDAMENTAL DE 9 ANOS,30,24,1° ANO B TARDE ANUAL,TARDE,FUNDAMENTAL,1B,25051B,05,1 ANO,https://docs.google.com/spreadsheets/d/1wtjLW54cpFf2vuk19hwlv0BdKWFqFsLI3dgpT-uNyv0/edit?usp=drivesdk,25051B,1wtjLW54cpFf2vuk19hwlv0BdKWFqFsLI3dgpT-uNyv0
10146,05,EM GIUSFREDO SANTINI,292758943,ENSINO FUNDAMENTAL DE 9 ANOS,30,28,1° ANO C TARDE ANUAL,TARDE,FUNDAMENTAL,1C,25051C,05,1 ANO,https://docs.google.com/spreadsheets/d/1S3o_-jGDnEK_Lt807uFXTbrDrvyNAvw9EyWNPbgqBiw/edit?usp=drivesdk,25051C,1S3o_-jGDnEK_Lt807uFXTbrDrvyNAvw9EyWNPbgqBiw
10147,05,EM GIUSFREDO SANTINI,292759164,ENSINO FUNDAMENTAL DE 9 ANOS,30,26,1° ANO D TARDE ANUAL,TARDE,FUNDAMENTAL,1D,25051D,05,1 ANO,https://docs.google.com/spreadsheets/d/1T5P2Z2UvPEEEt_taZRlUXO3qXkbOuDCyb6-W5MpSErU/edit?usp=drivesdk,25051D,1T5P2Z2UvPEEEt_taZRlUXO3qXkbOuDCyb6-W5MpSErU
10154,05,EM GIUSFREDO SANTINI,292855772,ENSINO FUNDAMENTAL DE 9 ANOS,28,28,2° ANO A TARDE ANUAL,TARDE,FUNDAMENTAL,2A,25052A,05,2 ANO,https://docs.google.com/spreadsheets/d/1TSaM_AlzSSfRV2LzuBWm8ktwTjEjedLK_On5S1RvuIU/edit?usp=drivesdk,25052A,1TSaM_AlzSSfRV2LzuBWm8ktwTjEjedLK_On5S1RvuIU
10155,05,EM GIUSFREDO SANTINI,292856366,ENSINO FUNDAMENTAL DE 9 ANOS,30,25,2° ANO B TARDE ANUAL,TARDE,FUNDAMENTAL,2B,25052B,05,2 ANO,https://docs.google.com/spreadsheets/d/1lChnxp4abTfeHYd4TmjpP66sagZ2XH_hHNUIGmh0aR8/edit?usp=drivesdk,25052B,1lChnxp4abTfeHYd4TmjpP66sagZ2XH_hHNUIGmh0aR8
10156,05,EM GIUSFREDO SANTINI,292857042,ENSINO FUNDAMENTAL DE 9 ANOS,30,24,2° ANO C TARDE ANUAL,TARDE,FUNDAMENTAL,2C,25052C,05,2 ANO,https://docs.google.com/spreadsheets/d/1Zk0i91x57aljJlBLs-wNZx-5rGe4IanRi1kLtQZVp_A/edit?usp=drivesdk,25052C,1Zk0i91x57aljJlBLs-wNZx-5rGe4IanRi1kLtQZVp_A
10157,05,EM GIUSFREDO SANTINI,292857448,ENSINO FUNDAMENTAL DE 9 ANOS,30,26,2° ANO D TARDE ANUAL,TARDE,FUNDAMENTAL,2D,25052D,05,2 ANO,https://docs.google.com/spreadsheets/d/15FwomBF25Xd1xdaTDUtN5LFq5wiuFOQZmNfQ8csIE4w/edit?usp=drivesdk,25052D,15FwomBF25Xd1xdaTDUtN5LFq5wiuFOQZmNfQ8csIE4w
10158,05,EM GIUSFREDO SANTINI,292857836,ENSINO FUNDAMENTAL DE 9 ANOS,30,25,2° ANO E TARDE ANUAL,TARDE,FUNDAMENTAL,2E,25052E,05,2 ANO,https://docs.google.com/spreadsheets/d/1MeC6N0gXEW27Tb1nz7E-FvPikzJR8mv4hTSUVCSEMnA/edit?usp=drivesdk,25052E,1MeC6N0gXEW27Tb1nz7E-FvPikzJR8mv4hTSUVCSEMnA
10164,05,EM GIUSFREDO SANTINI,295288815,ENSINO FUNDAMENTAL DE 9 ANOS,28,28,3° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3A,25053A,05,3 ANO,https://docs.google.com/spreadsheets/d/1VdYmtNgVKPL1up7xT6o_d6qOFOnWWpacIXyP3mu721c/edit?usp=drivesdk,25053A,1VdYmtNgVKPL1up7xT6o_d6qOFOnWWpacIXyP3mu721c
10165,05,EM GIUSFREDO SANTINI,295288823,ENSINO FUNDAMENTAL DE 9 ANOS,35,31,3° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3B,25053B,05,3 ANO,https://docs.google.com/spreadsheets/d/1-hWzZ9M8qbLvpVU-fLSgng7lbzACLRnmJUwCF6M9BjE/edit?usp=drivesdk,25053B,1-hWzZ9M8qbLvpVU-fLSgng7lbzACLRnmJUwCF6M9BjE
10166,05,EM GIUSFREDO SANTINI,295288831,ENSINO FUNDAMENTAL DE 9 ANOS,35,30,3° ANO C INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3C,25053C,05,3 ANO,https://docs.google.com/spreadsheets/d/1aihKhscYwcGun2NfbvdOafoP3OvR-uGlMdkgsKr9roM/edit?usp=drivesdk,25053C,1aihKhscYwcGun2NfbvdOafoP3OvR-uGlMdkgsKr9roM
10174,05,EM GIUSFREDO SANTINI,295288849,ENSINO FUNDAMENTAL DE 9 ANOS,35,35,4° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4A,25054A,05,4 ANO,https://docs.google.com/spreadsheets/d/1-_tbGSHDyn2lojpaxxQ7nAGkIQMasUvH55v3xMWsM9Y/edit?usp=drivesdk,25054A,1-_tbGSHDyn2lojpaxxQ7nAGkIQMasUvH55v3xMWsM9Y
10175,05,EM GIUSFREDO SANTINI,295288856,ENSINO FUNDAMENTAL DE 9 ANOS,35,35,4° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4B,25054B,05,4 ANO,https://docs.google.com/spreadsheets/d/1XoNh83hgh4g7H4IikV50LFQsfTTO_gL16zgCuMrckT4/edit?usp=drivesdk,25054B,1XoNh83hgh4g7H4IikV50LFQsfTTO_gL16zgCuMrckT4
10184,05,EM GIUSFREDO SANTINI,295288864,ENSINO FUNDAMENTAL DE 9 ANOS,35,35,5° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5A,25055A,05,5 ANO,https://docs.google.com/spreadsheets/d/1jEd6VFrLexk1wyx3xteriequ4Y-EI5R-hlydakOy7k0/edit?usp=drivesdk,25055A,1jEd6VFrLexk1wyx3xteriequ4Y-EI5R-hlydakOy7k0
10185,05,EM GIUSFREDO SANTINI,295288872,ENSINO FUNDAMENTAL DE 9 ANOS,35,34,5° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5B,25055B,05,5 ANO,https://docs.google.com/spreadsheets/d/1xOh0dTrynfUn5R8C7ZBJv-XIebEBiU8A6vKQo3VoSXA/edit?usp=drivesdk,25055B,1xOh0dTrynfUn5R8C7ZBJv-XIebEBiU8A6vKQo3VoSXA
10186,05,EM GIUSFREDO SANTINI,295288880,ENSINO FUNDAMENTAL DE 9 ANOS,35,33,5° ANO C INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5C,25055C,05,5 ANO,https://docs.google.com/spreadsheets/d/1sXqNpk17T3-l67Iz8SfHX78ZzXeK6901cCl2ZppkR5w/edit?usp=drivesdk,25055C,1sXqNpk17T3-l67Iz8SfHX78ZzXeK6901cCl2ZppkR5w
10187,05,EM GIUSFREDO SANTINI,295288898,ENSINO FUNDAMENTAL DE 9 ANOS,35,33,5° ANO D INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5D,25055D,05,5 ANO,https://docs.google.com/spreadsheets/d/1ycaSXb4qBW1JpjeP0beVy7Q7lWWxOkZoOuMjbfh3RZQ/edit?usp=drivesdk,25055D,1ycaSXb4qBW1JpjeP0beVy7Q7lWWxOkZoOuMjbfh3RZQ
10196,05,EM GIUSFREDO SANTINI,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE A MANHA ANUAL,MANHA,EDUCAÇÃO ESPECIAL,AEEA,2505AEEA,05,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1rFts9GNJ7qFmI3GbWPKXvGYIIIy_r98RRDdbXbJZU_Y/edit?usp=drivesdk,2505AEEA,1rFts9GNJ7qFmI3GbWPKXvGYIIIy_r98RRDdbXbJZU_Y
10197,05,EM GIUSFREDO SANTINI,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE B TARDE ANUAL,TARDE,EDUCAÇÃO ESPECIAL,AEEB,2505AEEB,05,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1LX5W52gNm7zZhHhhbgN1Auc06DlDyfC7H1Fy1XLPQN0/edit?usp=drivesdk,2505AEEB,1LX5W52gNm7zZhHhhbgN1Auc06DlDyfC7H1Fy1XLPQN0
10200,05,EM GIUSFREDO SANTINI,,EJA,,,EJA1A,NOITE,EJA,EJA1A,2505EJA1A,05,EJA1,https://docs.google.com/spreadsheets/d/1jwHx9FmA7Bl64l7IEQEGfCKaV55CHTOQmvUX3ZLXjzY/edit?usp=drivesdk,2505EJA1A,1jwHx9FmA7Bl64l7IEQEGfCKaV55CHTOQmvUX3ZLXjzY
10202,05,EM GIUSFREDO SANTINI,,EJA,,,EJA2A,NOITE,EJA,EJA2A,2505EJA2A,05,EJA2,https://docs.google.com/spreadsheets/d/1r1LaI6X7LldK7KP4c_ExymnPQwysKVF4Zv90fbv6s6k/edit?usp=drivesdk,2505EJA2A,1r1LaI6X7LldK7KP4c_ExymnPQwysKVF4Zv90fbv6s6k
10154,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,292908647,ENSINO FUNDAMENTAL DE 9 ANOS,30,29,2° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,2A,25062A,06,2 ANO,https://docs.google.com/spreadsheets/d/12Hgo5hAKeJ_TtBFKSUE1eb-_s2EM0k95fKNy-dsV9IY/edit?usp=drivesdk,25062A,12Hgo5hAKeJ_TtBFKSUE1eb-_s2EM0k95fKNy-dsV9IY
10155,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,292908878,ENSINO FUNDAMENTAL DE 9 ANOS,30,28,2° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,2B,25062B,06,2 ANO,https://docs.google.com/spreadsheets/d/1pS3iT3_IoX1FhjVq84FJgNV-JKexwFj1ZbebbjvctZ8/edit?usp=drivesdk,25062B,1pS3iT3_IoX1FhjVq84FJgNV-JKexwFj1ZbebbjvctZ8
10164,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,292909439,ENSINO FUNDAMENTAL DE 9 ANOS,35,28,3° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3A,25063A,06,3 ANO,https://docs.google.com/spreadsheets/d/1znBDuru5PRxhBIq2NFY831KTrKGNMCnkzo8WQXc7BAI/edit?usp=drivesdk,25063A,1znBDuru5PRxhBIq2NFY831KTrKGNMCnkzo8WQXc7BAI
10165,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,295289029,ENSINO FUNDAMENTAL DE 9 ANOS,35,26,3° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3B,25063B,06,3 ANO,https://docs.google.com/spreadsheets/d/1MuYqCdk_1lhaML9zmpfcdsRsqpXDPAYGsZO3unohwyA/edit?usp=drivesdk,25063B,1MuYqCdk_1lhaML9zmpfcdsRsqpXDPAYGsZO3unohwyA
10174,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,292919354,ENSINO FUNDAMENTAL DE 9 ANOS,35,35,4° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4A,25064A,06,4 ANO,https://docs.google.com/spreadsheets/d/1qHnkuZxG4zg4kjInp5rLS5mk8U_1owwl6UyXaJZhzuA/edit?usp=drivesdk,25064A,1qHnkuZxG4zg4kjInp5rLS5mk8U_1owwl6UyXaJZhzuA
10184,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,292920618,ENSINO FUNDAMENTAL DE 9 ANOS,35,31,5° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5A,25065A,06,5 ANO,https://docs.google.com/spreadsheets/d/1G7IkNS1oovkgM-hciwjjkPHvSDFUzYsm6BkYx061cc0/edit?usp=drivesdk,25065A,1G7IkNS1oovkgM-hciwjjkPHvSDFUzYsm6BkYx061cc0
10196,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE A MANHA ANUAL,MANHA,EDUCAÇÃO ESPECIAL,AEEA,2506AEEA,06,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/19uDxjeBcVmCtIGW1T-f-rcbtK7y0hMHRpU195V_L264/edit?usp=drivesdk,2506AEEA,19uDxjeBcVmCtIGW1T-f-rcbtK7y0hMHRpU195V_L264
10197,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE B TARDE ANUAL,TARDE,EDUCAÇÃO ESPECIAL,AEEB,2506AEEB,06,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1ohLHwvf-VuX4swiniUCcwgLI1ey77HcI8SgccDosFCg/edit?usp=drivesdk,2506AEEB,1ohLHwvf-VuX4swiniUCcwgLI1ey77HcI8SgccDosFCg
10198,06,EM GOVERNADOR MÁRIO COVAS JÚNIOR,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE C INTEGRAL ANUAL,INTEGRAL,EDUCAÇÃO ESPECIAL,AEEC,2506AEEC,06,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1eEWWdbvX21R9Kt7VwLehPHfvoLdxm5gx0-Q1TphvfsY/edit?usp=drivesdk,2506AEEC,1eEWWdbvX21R9Kt7VwLehPHfvoLdxm5gx0-Q1TphvfsY
10124,07,EM HILDA STRENGER RIBEIRO,295041461,EDUCACAO INFANTIL,30,0,1ª ETAPA PRÉ-ESCOLA A TARDE ANUAL,TARDE,PRÉ-ESCOLA,P1A,2507P1A,07,PRÉ-ESCOLA 1,https://docs.google.com/spreadsheets/d/1FxxacH48Xf_tT5_3Nos-ThIopdaBh1UT9rinKrBWvSU/edit?usp=drivesdk,2507P1A,1FxxacH48Xf_tT5_3Nos-ThIopdaBh1UT9rinKrBWvSU
10125,07,EM HILDA STRENGER RIBEIRO,295041503,EDUCACAO INFANTIL,30,0,1ª ETAPA PRÉ-ESCOLA B TARDE ANUAL,TARDE,PRÉ-ESCOLA,P1B,2507P1B,07,PRÉ-ESCOLA 1,https://docs.google.com/spreadsheets/d/1iQ0aDnJN4JuWMYjQ3RGawT9zTaOq1MYFfcW1V50mNHQ/edit?usp=drivesdk,2507P1B,1iQ0aDnJN4JuWMYjQ3RGawT9zTaOq1MYFfcW1V50mNHQ
10126,07,EM HILDA STRENGER RIBEIRO,295041537,EDUCACAO INFANTIL,30,0,1ª ETAPA PRÉ-ESCOLA C TARDE ANUAL,TARDE,PRÉ-ESCOLA,P1C,2507P1C,07,PRÉ-ESCOLA 1,https://docs.google.com/spreadsheets/d/1Vp58bwWHY8QOwc6wjUYUYxOhsi0b1FyaNvM5HKZvUsQ/edit?usp=drivesdk,2507P1C,1Vp58bwWHY8QOwc6wjUYUYxOhsi0b1FyaNvM5HKZvUsQ
10134,07,EM HILDA STRENGER RIBEIRO,295041727,EDUCACAO INFANTIL,30,0,2ª ETAPA PRÉ-ESCOLA A TARDE ANUAL,TARDE,PRÉ-ESCOLA,P2A,2507P2A,07,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/1ssWJICMEVMSMKtVh_YzzC5dR-mS-91Rdjbi0dToYN0o/edit?usp=drivesdk,2507P2A,1ssWJICMEVMSMKtVh_YzzC5dR-mS-91Rdjbi0dToYN0o
10135,07,EM HILDA STRENGER RIBEIRO,295041792,EDUCACAO INFANTIL,30,0,2ª ETAPA PRÉ-ESCOLA B TARDE ANUAL,TARDE,PRÉ-ESCOLA,P2B,2507P2B,07,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/1TQLTMrWfgYuaIVD4D1G3AGbZTJOoKefpWe6J-Oi3uHg/edit?usp=drivesdk,2507P2B,1TQLTMrWfgYuaIVD4D1G3AGbZTJOoKefpWe6J-Oi3uHg
10136,07,EM HILDA STRENGER RIBEIRO,295041867,EDUCACAO INFANTIL,30,0,2ª ETAPA PRÉ-ESCOLA C TARDE ANUAL,TARDE,PRÉ-ESCOLA,P2C,2507P2C,07,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/1c3pYHupQwaWX-9vsqf35fPQzwoimfg_W3DuREJJ8uJY/edit?usp=drivesdk,2507P2C,1c3pYHupQwaWX-9vsqf35fPQzwoimfg_W3DuREJJ8uJY
10144,07,EM HILDA STRENGER RIBEIRO,292774510,ENSINO FUNDAMENTAL DE 9 ANOS,30,0,1° ANO A TARDE ANUAL,TARDE,FUNDAMENTAL,1A,25071A,07,1 ANO,https://docs.google.com/spreadsheets/d/1mb3cZAWnGMzxQi9zm1MPnGrJkRHnWqR7Pxiuq5wZGZc/edit?usp=drivesdk,25071A,1mb3cZAWnGMzxQi9zm1MPnGrJkRHnWqR7Pxiuq5wZGZc
10145,07,EM HILDA STRENGER RIBEIRO,292788395,ENSINO FUNDAMENTAL DE 9 ANOS,30,25,1° ANO B TARDE ANUAL,TARDE,FUNDAMENTAL,1B,25071B,07,1 ANO,https://docs.google.com/spreadsheets/d/1r-EHp5WpJStmq5RHMMRhpyjew7bLi6TL6SnSwOGqJPQ/edit?usp=drivesdk,25071B,1r-EHp5WpJStmq5RHMMRhpyjew7bLi6TL6SnSwOGqJPQ
10146,07,EM HILDA STRENGER RIBEIRO,292788841,ENSINO FUNDAMENTAL DE 9 ANOS,30,29,1° ANO C TARDE ANUAL,TARDE,FUNDAMENTAL,1C,25071C,07,1 ANO,https://docs.google.com/spreadsheets/d/1Airge3C-fmEQiNRyaqDyBFVTCZb6EdakvNZiBVLOWko/edit?usp=drivesdk,25071C,1Airge3C-fmEQiNRyaqDyBFVTCZb6EdakvNZiBVLOWko
10154,07,EM HILDA STRENGER RIBEIRO,295042881,ENSINO FUNDAMENTAL DE 9 ANOS,30,0,2° ANO A TARDE ANUAL,TARDE,FUNDAMENTAL,2A,25072A,07,2 ANO,https://docs.google.com/spreadsheets/d/1ayLPCTQflRFy33ffRh_BiBkbGk9JgqyX7yul_vivtW0/edit?usp=drivesdk,25072A,1ayLPCTQflRFy33ffRh_BiBkbGk9JgqyX7yul_vivtW0
10155,07,EM HILDA STRENGER RIBEIRO,295043145,ENSINO FUNDAMENTAL DE 9 ANOS,30,0,2° ANO B TARDE ANUAL,TARDE,FUNDAMENTAL,2B,25072B,07,2 ANO,https://docs.google.com/spreadsheets/d/1WWm5QY_sm1rXk7eDh30_kIISKmkEIGC_s9LTVCD_dWg/edit?usp=drivesdk,25072B,1WWm5QY_sm1rXk7eDh30_kIISKmkEIGC_s9LTVCD_dWg
10156,07,EM HILDA STRENGER RIBEIRO,295043210,ENSINO FUNDAMENTAL DE 9 ANOS,30,0,2° ANO C TARDE ANUAL,TARDE,FUNDAMENTAL,2C,25072C,07,2 ANO,https://docs.google.com/spreadsheets/d/1JP1JBjYA942wCe7qKB8IsfSWuirx0T84jW9vqi3CItA/edit?usp=drivesdk,25072C,1JP1JBjYA942wCe7qKB8IsfSWuirx0T84jW9vqi3CItA
10157,07,EM HILDA STRENGER RIBEIRO,295043293,ENSINO FUNDAMENTAL DE 9 ANOS,30,0,2° ANO D TARDE ANUAL,TARDE,FUNDAMENTAL,2D,25072D,07,2 ANO,https://docs.google.com/spreadsheets/d/1ItUUMwpFJR-i8kxpMDjONKaWoniTijz96cPPYRCI4M8/edit?usp=drivesdk,25072D,1ItUUMwpFJR-i8kxpMDjONKaWoniTijz96cPPYRCI4M8
10164,07,EM HILDA STRENGER RIBEIRO,295044473,ENSINO FUNDAMENTAL DE 9 ANOS,35,0,3° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3A,25073A,07,3 ANO,https://docs.google.com/spreadsheets/d/1YKfhtzYmTzKUOVejov-NlJAAGPS1Q8phJWiKR_7M2Ug/edit?usp=drivesdk,25073A,1YKfhtzYmTzKUOVejov-NlJAAGPS1Q8phJWiKR_7M2Ug
