pk_serie,cod_escola,nome_escola,n_classe_sed,tipo_de_ensino,capacidade,quant_alunos_ativos,nome_serie_sed,periodo,tipo_ensino_matricula,turma,cod_turma,cod_escola,filtro_serie,link_sala,cod_turma,id
10195,01,EM SEMENTES DO BEM,295440101,EDUCACAO ESPECIAL EXCLUSIVA,10,5,EEE B TARDE ANUAL,TARDE,EDUCAÇÃO EXCLUSIVA,EEEB,2501EEEB,01,EDUCAÇÃO EXCLUSIVA,https://docs.google.com/spreadsheets/d/114RsDLAruSc_alGmTli5TJVSUBTTX3Tu6e9DSnxiTX8/edit?usp=drivesdk,2501EEEB,114RsDLAruSc_alGmTli5TJVSUBTTX3Tu6e9DSnxiTX8
10196,01,EM SEMENTES DO BEM,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE A MANHA ANUAL,MANHA,EDUCAÇÃO ESPECIAL,AEEA,2501AEEA,01,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/11mqElLUx0emrDExRrpS14lapFheiZu2fbxKz6njoTBk/edit?usp=drive_link,2501AEEA,11mqElLUx0emrDExRrpS14lapFheiZu2fbxKz6njoTBk
10197,01,EM SEMENTES DO BEM,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE B TARDE ANUAL,TARDE,EDUCAÇÃO ESPECIAL,AEEB,2501AEEB,01,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1Ms0pyX35JWmK0ajhhUKrQB3mqUSJr53da9smvMAXcQE/edit?usp=drive_link,2501AEEB,1Ms0pyX35JWmK0ajhhUKrQB3mqUSJr53da9smvMAXcQE
10124,02,EM DR. DINO BUENO,295013882,EDUCACAO INFANTIL,30,3,1ª ETAPA PRÉ-ESCOLA A MANHA ANUAL,MANHA,PRÉ-ESCOLA,P1A,2502P1A,02,PRÉ-ESCOLA 1,https://docs.google.com/spreadsheets/d/1IMFHkQyQwc1KRAm4ObA7VCu3PsivinGGPjWl_30cOOM/edit?usp=drivesdk,2502P1A,1IMFHkQyQwc1KRAm4ObA7VCu3PsivinGGPjWl_30cOOM
10125,02,EM DR. DINO BUENO,295013957,EDUCACAO INFANTIL,30,25,1ª ETAPA PRÉ-ESCOLA B MANHA ANUAL,MANHA,PRÉ-ESCOLA,P1B,2502P1B,02,PRÉ-ESCOLA 1,https://docs.google.com/spreadsheets/d/1duxxx45VKxcv76PkRkj3ch1bFXl-annb0D017inMTmI/edit?usp=drivesdk,2502P1B,1duxxx45VKxcv76PkRkj3ch1bFXl-annb0D017inMTmI
10126,02,EM DR. DINO BUENO,295014054,EDUCACAO INFANTIL,28,23,1ª ETAPA PRÉ-ESCOLA C TARDE ANUAL,TARDE,PRÉ-ESCOLA,P1C,2502P1C,02,PRÉ-ESCOLA 1,https://docs.google.com/spreadsheets/d/113Thyad8kfYcK6WGo2yWKuVOVggfD4t7ma_mk5eyXAY/edit?usp=drivesdk,2502P1C,113Thyad8kfYcK6WGo2yWKuVOVggfD4t7ma_mk5eyXAY
10127,02,EM DR. DINO BUENO,295014120,EDUCACAO INFANTIL,30,24,1ª ETAPA PRÉ-ESCOLA D TARDE ANUAL,TARDE,PRÉ-ESCOLA,P1D,2502P1D,02,PRÉ-ESCOLA 1,https://docs.google.com/spreadsheets/d/1GRqpA3ECR5cNOOSgt9iDdNPU0PuGYqTuWs-d3dkEN9s/edit?usp=drivesdk,2502P1D,1GRqpA3ECR5cNOOSgt9iDdNPU0PuGYqTuWs-d3dkEN9s
10134,02,EM DR. DINO BUENO,295014336,EDUCACAO INFANTIL,30,18,2ª ETAPA PRÉ-ESCOLA A MANHA ANUAL,MANHA,PRÉ-ESCOLA,P2A,2502P2A,02,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/1-MDkvGOsNrizXSRYtVkLOlfuKxj-JIDsCjUXY3CMmBo/edit?usp=drivesdk,2502P2A,1-MDkvGOsNrizXSRYtVkLOlfuKxj-JIDsCjUXY3CMmBo
10135,02,EM DR. DINO BUENO,295014393,EDUCACAO INFANTIL,28,17,2ª ETAPA PRÉ-ESCOLA B MANHA ANUAL,MANHA,PRÉ-ESCOLA,P2B,2502P2B,02,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/1QRHfglIWekgP4ih8Pb4q-xfpPpkG12AWzzgsWM_NRrY/edit?usp=drivesdk,2502P2B,1QRHfglIWekgP4ih8Pb4q-xfpPpkG12AWzzgsWM_NRrY
10136,02,EM DR. DINO BUENO,295014476,EDUCACAO INFANTIL,30,7,2ª ETAPA PRÉ-ESCOLA C TARDE ANUAL,TARDE,PRÉ-ESCOLA,P2C,2502P2C,02,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/1s2eJjaMSN2w4JWeKEJocOeHvtZVrCtTppPg3L45cJSg/edit?usp=drivesdk,2502P2C,1s2eJjaMSN2w4JWeKEJocOeHvtZVrCtTppPg3L45cJSg
